collocate_term,app_in_text,app_in_context,MI
as,405,2,2.5574388344631656
he,918,1,0.37686658882134494
answered,8,1,7.2192169322351525
it,980,1,0.2825789932325821
is,630,1,0.920008913847874
watson,112,1,3.411862010177549
refined,1,1,10.219216932235152
coldblooded,2,1,9.219216932235152
deliberate,1,1,10.219216932235152
mur,1,1,10.219216932235152
this,337,1,1.8226121510532942
case,63,1,4.241937008735237
as,405,2,2.5574388344631656
one,242,1,2.3003536949605583
of,1593,2,0.581686380709843
and,1627,1,-0.44878160343737517
the,3329,3,0.10330627781604591
evidence,13,1,6.518777214094061
may,102,1,3.5467915902636573
implicate,1,1,10.219216932235152
montpensier,1,1,10.219216932235152
from,286,1,2.0593455954567634
the,3329,3,0.10330627781604591
charge,6,1,7.634254431513996
of,1593,2,0.581686380709843
which,416,1,1.5187772140940605
hung,9,1,7.04929193079284
over,114,1,3.386326918070411
her,165,2,3.8528947179893365
in,912,2,1.386326918070411
help,39,1,4.933814713372904
us,182,1,2.7114222920364566
much,77,1,3.9524303915402514
in,912,2,1.386326918070411
proving,1,1,10.219216932235152
against,46,1,4.695654976178139
our,206,1,2.5327164050519344
man,201,1,2.5681652410562243
there,313,1,1.9291980853025346
seemed,36,1,5.04929193079284
her,165,2,3.8528947179893365
the,3329,3,0.10330627781604591
direct,6,1,7.634254431513996
accessory,1,1,10.219216932235152
to,1409,2,0.7587610359255161
she,137,1,3.121184849274626
was,804,1,0.5681652410562241
ready,22,1,5.759785313597856
to,1409,2,0.7587610359255161
warn,3,1,8.634254431513996
